vid,name,description,external_uri
islandora_media_use,"RELS-EXT File","A RELS-EXT file from an Islandora 7.x instance",http://islandora.ca/ontology/relsext
islandora_media_use,"Dublin Core File","Dublin Core Elements 1.1",http://purl.org/dc/elements/1.1
islandora_media_use,"MODS File","Metadata Object Description Schema",http://www.loc.gov/mods/v3
islandora_media_use,"FITS File","Technical metadata generated by FITS",http://hul.harvard.edu/ois/xml/ns/fits/fits_output
islandora_media_use,"Audit Trail","Audit trail generated by Fedora 3",http://islandora.ca/audit-trail
islandora_media_use,"Collection Policy","Islandora 7.x Collection Policy File",http://islandora.ca/collection-policy
islandora_media_use,RELS-INT File,A RELS-INT file from an Islandora 7.x instance,http://islandora.ca/ontology/relsint
islandora_media_use,TEI File,A Text Encoding Initiative markup file,http://www.tei-c.org/ns/1.0
islandora_media_use,POLICY File,A XACML policy file,http://www.oasis-open.org/committees/xacml/repository/
islandora_media_use,hOCR File,Extracted text with position data,http://kba.github.io/hocr-spec/1.2/
islandora_media_use,ABBYY File,Extracted text marked up by the ABBYY software,http://www.abbyy.com/FineReader_xml/FineReader8-schema-v2.xml
islandora_media_use,"MARCXML File",A MARCXML metadata file,http://www.loc.gov/MARC21/slim
islandora_media_use,"TEI File",A file containing TEI markup,http://library.upei.ca/ontology/use#TEI
islandora_media_use,"KML File",A file containing KML location data,http://library.upei.ca/ontology/use#KML
islandora_media_use,"Permission file",A file that documents the repository's permission to host the item,http://library.upei.ca/ontology/use#Permission
